"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"367",9202,"COLLIPULLI","Rural",371,4.9
"368",9202,"COLLIPULLI","Urbano",1722,5.1
"369",9203,"CURACAUTÍN","Rural",237,5.4
"370",9203,"CURACAUTÍN","Urbano",948,4.6
"371",9204,"ERCILLA","Rural",326,5.3
"372",9204,"ERCILLA","Urbano",333,4.8
"373",9205,"LONQUIMAY","Rural",484,5.4
"374",9205,"LONQUIMAY","Urbano",336,5.7
"375",9206,"LOS SAUCES","Rural",100,5
"376",9206,"LOS SAUCES","Urbano",355,5.6
"377",9207,"LUMACO","Rural",312,5.5
"378",9207,"LUMACO","Urbano",352,5.2
"379",9208,"PURÉN","Rural",334,5.6
"380",9208,"PURÉN","Urbano",490,5.9
"381",9209,"RENAICO","Rural",16,6
"382",9209,"RENAICO","Urbano",704,5.5
"383",9210,"TRAIGUÉN","Rural",75,4.8
"384",9210,"TRAIGUÉN","Urbano",1273,5.5
"385",9211,"VICTORIA","Rural",486,5.2
"386",9211,"VICTORIA","Urbano",1947,5.3
"387",10101,"PUERTO MONTT","Rural",2526,5.3
"388",10101,"PUERTO MONTT","Urbano",17338,5.5
"389",10102,"CALBUCO","Rural",1235,5.4
"390",10102,"CALBUCO","Urbano",1282,5.3
"391",10103,"COCHAMÓ","Rural",217,5.6
"392",10104,"FRESIA","Rural",219,5.3
"393",10104,"FRESIA","Urbano",549,5.3
"394",10105,"FRUTILLAR","Rural",479,4.7
"395",10105,"FRUTILLAR","Urbano",1127,4.5
"396",10106,"LOS MUERMOS","Rural",701,5.4
"397",10106,"LOS MUERMOS","Urbano",589,5.4
"398",10107,"LLANQUIHUE","Rural",134,5.4
"399",10107,"LLANQUIHUE","Urbano",964,5.3
"400",10108,"MAULLIN","Rural",325,5.4
"401",10108,"MAULLIN","Urbano",509,5.5
"402",10109,"PUERTO VARAS","Rural",673,5.2
"403",10109,"PUERTO VARAS","Urbano",3068,5.3
"404",10201,"CASTRO","Rural",364,5.2
"405",10201,"CASTRO","Urbano",3231,4.9
"406",10202,"ANCUD","Rural",542,5.3
"407",10202,"ANCUD","Urbano",2339,5.3
"408",10203,"CHONCHI","Rural",332,5.5
"409",10203,"CHONCHI","Urbano",576,5.6
"410",10204,"CURACO DE VÉLEZ","Rural",107,5.4
"411",10204,"CURACO DE VÉLEZ","Urbano",75,5.3
"412",10205,"DALCAHUE","Rural",364,4.9
"413",10205,"DALCAHUE","Urbano",735,5.2
"414",10206,"PUQUELDÓN","Rural",207,5.7
"415",10206,"PUQUELDÓN","Urbano",44,6.1
"416",10207,"QUEILÉN","Rural",247,5.7
"417",10207,"QUEILÉN","Urbano",104,5
"418",10208,"QUELLÓN","Rural",646,5.4
"419",10208,"QUELLÓN","Urbano",1537,4.9
"420",10209,"QUEMCHI","Rural",252,5.3
"421",10209,"QUEMCHI","Urbano",254,5
"422",10210,"QUINCHAO","Rural",239,5.4
"423",10210,"QUINCHAO","Urbano",330,4.6
"424",10301,"OSORNO","Rural",1150,5.4
"425",10301,"OSORNO","Urbano",10765,5.3
"426",10302,"PUERTO OCTAY","Rural",331,5
"427",10302,"PUERTO OCTAY","Urbano",239,5.8
"428",10303,"PURRANQUE","Rural",142,5.2
"429",10303,"PURRANQUE","Urbano",1253,4.8
"430",10304,"PUYEHUE","Rural",389,5.4
"431",10304,"PUYEHUE","Urbano",320,5.4
"432",10305,"RÍO NEGRO","Rural",39,4.6
"433",10305,"RÍO NEGRO","Urbano",779,5.4
"434",10306,"SAN JUAN DE LA COSTA","Rural",526,5.1
"435",10307,"SAN PABLO","Rural",338,5.2
"436",10307,"SAN PABLO","Urbano",313,5.2
"437",10401,"CHAITÉN","Rural",289,5.2
"438",10402,"FUTALEUFÚ","Rural",197,4.8
"439",10403,"HUALAIHUÉ","Rural",515,5
"440",10403,"HUALAIHUÉ","Urbano",144,3.2
"441",10404,"PALENA","Rural",100,5.4
"442",11101,"COYHAIQUE","Rural",190,5.3
"443",11101,"COYHAIQUE","Urbano",4458,4
"444",11102,"LAGO VERDE","Rural",37,5.5
"445",11201,"AYSÉN","Rural",56,4.9
"446",11201,"AYSÉN","Urbano",1941,4.8
"447",11202,"CISNES","Rural",197,5.1
"448",11202,"CISNES","Urbano",228,4.3
"449",11203,"GUAITECAS","Rural",108,5.2
"450",11301,"COCHRANE","Rural",267,5.2
"451",11302,"O'HIGGINS","Rural",48,4.7
"452",11303,"TORTEL","Rural",45,4.5
"453",11401,"CHILE CHICO","Rural",342,4.1
"454",11402,"RÍO IBÁÑEZ","Rural",158,5.1
"455",12101,"PUNTA ARENAS","Rural",21,6
"456",12101,"PUNTA ARENAS","Urbano",8787,5.1
