"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"345",9112,"PADRE LAS CASAS","Rural",2647,5.7
"346",9112,"PADRE LAS CASAS","Urbano",2524,5.7
"347",9113,"PERQUENCO","Rural",300,5.4
"348",9113,"PERQUENCO","Urbano",257,5.9
"349",9114,"PITRUFQUÉN","Rural",256,5.7
"350",9114,"PITRUFQUÉN","Urbano",1762,5.8
"351",9115,"PUCÓN","Rural",698,5.9
"352",9115,"PUCÓN","Urbano",1557,5.8
"353",9116,"SAAVEDRA","Rural",548,5.6
"354",9116,"SAAVEDRA","Urbano",422,5.9
"355",9117,"TEODORO SCHMIDT","Rural",401,5.5
"356",9117,"TEODORO SCHMIDT","Urbano",659,5.7
"357",9118,"TOLTÉN","Rural",343,5.9
"358",9118,"TOLTÉN","Urbano",394,6
"359",9119,"VILCÚN","Rural",1050,5.6
"360",9119,"VILCÚN","Urbano",1176,5.8
"361",9120,"VILLARRICA","Rural",1489,5.7
"362",9120,"VILLARRICA","Urbano",3731,5.9
"363",9121,"CHOLCHOL","Rural",619,5.5
"364",9121,"CHOLCHOL","Urbano",421,5.8
"365",9201,"ANGOL","Rural",106,5.9
"366",9201,"ANGOL","Urbano",3902,5.8
"367",9202,"COLLIPULLI","Rural",395,5.2
"368",9202,"COLLIPULLI","Urbano",1706,5.7
"369",9203,"CURACAUTÍN","Rural",249,5.7
"370",9203,"CURACAUTÍN","Urbano",962,5.3
"371",9204,"ERCILLA","Rural",332,5.4
"372",9204,"ERCILLA","Urbano",338,5.3
"373",9205,"LONQUIMAY","Rural",484,5.6
"374",9205,"LONQUIMAY","Urbano",341,5.8
"375",9206,"LOS SAUCES","Rural",98,5.3
"376",9206,"LOS SAUCES","Urbano",365,5.8
"377",9207,"LUMACO","Rural",302,5.7
"378",9207,"LUMACO","Urbano",369,5.7
"379",9208,"PURÉN","Rural",324,6
"380",9208,"PURÉN","Urbano",509,5.7
"381",9209,"RENAICO","Rural",18,5.9
"382",9209,"RENAICO","Urbano",712,5.8
"383",9210,"TRAIGUÉN","Rural",83,5.3
"384",9210,"TRAIGUÉN","Urbano",1272,5.6
"385",9211,"VICTORIA","Rural",503,5.6
"386",9211,"VICTORIA","Urbano",2006,5.7
"387",10101,"PUERTO MONTT","Rural",2548,5.7
"388",10101,"PUERTO MONTT","Urbano",17024,5.8
"389",10102,"CALBUCO","Rural",1218,5.9
"390",10102,"CALBUCO","Urbano",1292,5.7
"391",10103,"COCHAMÓ","Rural",220,5.7
"392",10104,"FRESIA","Rural",236,5.5
"393",10104,"FRESIA","Urbano",527,5.7
"394",10105,"FRUTILLAR","Rural",480,5.8
"395",10105,"FRUTILLAR","Urbano",1123,5.7
"396",10106,"LOS MUERMOS","Rural",719,5.8
"397",10106,"LOS MUERMOS","Urbano",588,6
"398",10107,"LLANQUIHUE","Rural",150,5.7
"399",10107,"LLANQUIHUE","Urbano",943,5.7
"400",10108,"MAULLIN","Rural",325,5.7
"401",10108,"MAULLIN","Urbano",521,6
"402",10109,"PUERTO VARAS","Rural",749,5.6
"403",10109,"PUERTO VARAS","Urbano",3165,5.9
"404",10201,"CASTRO","Rural",367,5.6
"405",10201,"CASTRO","Urbano",3179,5.8
"406",10202,"ANCUD","Rural",560,5.8
"407",10202,"ANCUD","Urbano",2259,5.8
"408",10203,"CHONCHI","Rural",340,5.6
"409",10203,"CHONCHI","Urbano",564,5.9
"410",10204,"CURACO DE VÉLEZ","Rural",96,5.5
"411",10204,"CURACO DE VÉLEZ","Urbano",75,5.8
"412",10205,"DALCAHUE","Rural",372,5.9
"413",10205,"DALCAHUE","Urbano",730,5.9
"414",10206,"PUQUELDÓN","Rural",201,5.9
"415",10206,"PUQUELDÓN","Urbano",52,5.9
"416",10207,"QUEILÉN","Rural",248,6.2
"417",10207,"QUEILÉN","Urbano",100,6.4
"418",10208,"QUELLÓN","Rural",651,5.8
"419",10208,"QUELLÓN","Urbano",1542,5.9
"420",10209,"QUEMCHI","Rural",260,5.8
"421",10209,"QUEMCHI","Urbano",269,5.4
"422",10210,"QUINCHAO","Rural",229,5.8
"423",10210,"QUINCHAO","Urbano",293,5.6
"424",10301,"OSORNO","Rural",1115,6
"425",10301,"OSORNO","Urbano",10607,5.7
"426",10302,"PUERTO OCTAY","Rural",321,5.5
"427",10302,"PUERTO OCTAY","Urbano",230,5.8
"428",10303,"PURRANQUE","Rural",148,5.7
