"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"261",6111,"OLIVAR","Reprobado",15
"262",6111,"OLIVAR","Retirado",59
"263",6112,"PEUMO","Promovido",928
"264",6112,"PEUMO","Reprobado",17
"265",6112,"PEUMO","Retirado",70
"266",6113,"PICHIDEGUA","Promovido",1135
"267",6113,"PICHIDEGUA","Reprobado",1
"268",6113,"PICHIDEGUA","Retirado",73
"269",6114,"QUINTA DE TILCOCO","Promovido",892
"270",6114,"QUINTA DE TILCOCO","Reprobado",14
"271",6114,"QUINTA DE TILCOCO","Retirado",58
"272",6115,"RENGO","Promovido",4704
"273",6115,"RENGO","Reprobado",38
"274",6115,"RENGO","Retirado",422
"275",6116,"REQUÍNOA","Promovido",1685
"276",6116,"REQUÍNOA","Reprobado",11
"277",6116,"REQUÍNOA","Retirado",107
"278",6117,"SAN VICENTE","Promovido",3327
"279",6117,"SAN VICENTE","Reprobado",33
"280",6117,"SAN VICENTE","Retirado",230
"281",6201,"PICHILEMU","Promovido",1360
"282",6201,"PICHILEMU","Reprobado",6
"283",6201,"PICHILEMU","Retirado",99
"284",6202,"LA ESTRELLA","Promovido",225
"285",6202,"LA ESTRELLA","Reprobado",2
"286",6202,"LA ESTRELLA","Retirado",16
"287",6203,"LITUECHE","Promovido",556
"288",6203,"LITUECHE","Reprobado",10
"289",6203,"LITUECHE","Retirado",46
"290",6204,"MARCHIHUE","Promovido",472
"291",6204,"MARCHIHUE","Reprobado",4
"292",6204,"MARCHIHUE","Retirado",44
"293",6205,"NAVIDAD","Promovido",507
"294",6205,"NAVIDAD","Reprobado",5
"295",6205,"NAVIDAD","Retirado",42
"296",6206,"PAREDONES","Promovido",363
"297",6206,"PAREDONES","Reprobado",1
"298",6206,"PAREDONES","Retirado",28
"299",6301,"SAN FERNANDO","Promovido",5965
"300",6301,"SAN FERNANDO","Reprobado",67
"301",6301,"SAN FERNANDO","Retirado",489
"302",6302,"CHÉPICA","Promovido",826
"303",6302,"CHÉPICA","Reprobado",8
"304",6302,"CHÉPICA","Retirado",64
"305",6303,"CHIMBARONGO","Promovido",2454
"306",6303,"CHIMBARONGO","Reprobado",37
"307",6303,"CHIMBARONGO","Retirado",231
"308",6304,"LOLOL","Promovido",394
"309",6304,"LOLOL","Retirado",13
"310",6305,"NANCAGUA","Promovido",1251
"311",6305,"NANCAGUA","Reprobado",10
"312",6305,"NANCAGUA","Retirado",101
"313",6306,"PALMILLA","Promovido",540
"314",6306,"PALMILLA","Reprobado",4
"315",6306,"PALMILLA","Retirado",40
"316",6307,"PERALILLO","Promovido",648
"317",6307,"PERALILLO","Reprobado",4
"318",6307,"PERALILLO","Retirado",45
"319",6308,"PLACILLA","Promovido",465
"320",6308,"PLACILLA","Reprobado",4
"321",6308,"PLACILLA","Retirado",28
"322",6309,"PUMANQUE","Promovido",220
"323",6309,"PUMANQUE","Retirado",24
"324",6310,"SANTA CRUZ","Promovido",3461
"325",6310,"SANTA CRUZ","Reprobado",24
"326",6310,"SANTA CRUZ","Retirado",200
"327",7101,"TALCA","Promovido",18409
"328",7101,"TALCA","Reprobado",209
"329",7101,"TALCA","Retirado",1738
"330",7102,"CONSTITUCIÓN","Promovido",3638
"331",7102,"CONSTITUCIÓN","Reprobado",46
"332",7102,"CONSTITUCIÓN","Retirado",174
"333",7103,"CUREPTO","Promovido",494
"334",7103,"CUREPTO","Reprobado",3
"335",7103,"CUREPTO","Retirado",23
