"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"301",6303,"CHIMBARONGO","Promovido",2417
"302",6303,"CHIMBARONGO","Reprobado",37
"303",6303,"CHIMBARONGO","Retirado",140
"304",6304,"LOLOL","Promovido",413
"305",6304,"LOLOL","Reprobado",1
"306",6304,"LOLOL","Retirado",22
"307",6305,"NANCAGUA","Promovido",1227
"308",6305,"NANCAGUA","Reprobado",4
"309",6305,"NANCAGUA","Retirado",88
"310",6306,"PALMILLA","Promovido",505
"311",6306,"PALMILLA","Reprobado",2
"312",6306,"PALMILLA","Retirado",31
"313",6307,"PERALILLO","Promovido",697
"314",6307,"PERALILLO","Reprobado",2
"315",6307,"PERALILLO","Retirado",37
"316",6308,"PLACILLA","Promovido",490
"317",6308,"PLACILLA","Reprobado",6
"318",6308,"PLACILLA","Retirado",26
"319",6309,"PUMANQUE","Promovido",234
"320",6309,"PUMANQUE","Retirado",19
"321",6310,"SANTA CRUZ","Promovido",3530
"322",6310,"SANTA CRUZ","Reprobado",19
"323",6310,"SANTA CRUZ","Retirado",214
"324",7101,"TALCA","Promovido",18433
"325",7101,"TALCA","Reprobado",219
"326",7101,"TALCA","Retirado",1551
"327",7101,"TALCA",NA,1
"328",7102,"CONSTITUCIÓN","Promovido",3537
"329",7102,"CONSTITUCIÓN","Reprobado",32
"330",7102,"CONSTITUCIÓN","Retirado",181
"331",7103,"CUREPTO","Promovido",501
"332",7103,"CUREPTO","Reprobado",2
"333",7103,"CUREPTO","Retirado",19
"334",7104,"EMPEDRADO","Promovido",249
"335",7104,"EMPEDRADO","Reprobado",1
"336",7104,"EMPEDRADO","Retirado",12
"337",7105,"MAULE","Promovido",2150
"338",7105,"MAULE","Reprobado",15
"339",7105,"MAULE","Retirado",100
"340",7106,"PELARCO","Promovido",665
"341",7106,"PELARCO","Reprobado",2
"342",7106,"PELARCO","Retirado",70
"343",7107,"PENCAHUE","Promovido",409
"344",7107,"PENCAHUE","Reprobado",5
"345",7107,"PENCAHUE","Retirado",47
"346",7108,"RÍO CLARO","Promovido",970
"347",7108,"RÍO CLARO","Reprobado",13
"348",7108,"RÍO CLARO","Retirado",113
"349",7108,"RÍO CLARO",NA,1
"350",7109,"SAN CLEMENTE","Promovido",3181
"351",7109,"SAN CLEMENTE","Reprobado",19
"352",7109,"SAN CLEMENTE","Retirado",210
"353",7110,"SAN RAFAEL","Promovido",810
"354",7110,"SAN RAFAEL","Reprobado",9
"355",7110,"SAN RAFAEL","Retirado",45
"356",7201,"CAUQUENES","Promovido",2933
"357",7201,"CAUQUENES","Reprobado",16
"358",7201,"CAUQUENES","Retirado",201
"359",7202,"CHANCO","Promovido",581
"360",7202,"CHANCO","Reprobado",3
"361",7202,"CHANCO","Retirado",25
"362",7202,"CHANCO",NA,1
"363",7203,"PELLUHUE","Promovido",645
"364",7203,"PELLUHUE","Reprobado",5
"365",7203,"PELLUHUE","Retirado",54
"366",7301,"CURICÓ","Promovido",11888
"367",7301,"CURICÓ","Reprobado",114
"368",7301,"CURICÓ","Retirado",858
"369",7302,"HUALAÑÉ","Promovido",640
"370",7302,"HUALAÑÉ","Reprobado",1
"371",7302,"HUALAÑÉ","Retirado",29
"372",7303,"LICANTÉN","Promovido",465
"373",7303,"LICANTÉN","Reprobado",1
"374",7303,"LICANTÉN","Retirado",27
"375",7304,"MOLINA","Promovido",3174
"376",7304,"MOLINA","Reprobado",38
"377",7304,"MOLINA","Retirado",236
"378",7305,"RAUCO","Promovido",449
"379",7305,"RAUCO","Reprobado",1
"380",7305,"RAUCO","Retirado",29
"381",7306,"ROMERAL","Promovido",1054
"382",7306,"ROMERAL","Reprobado",6
"383",7306,"ROMERAL","Retirado",71
"384",7307,"SAGRADA FAMILIA","Promovido",1116
"385",7307,"SAGRADA FAMILIA","Reprobado",1
"386",7307,"SAGRADA FAMILIA","Retirado",40
"387",7308,"TENO","Promovido",1837
"388",7308,"TENO","Reprobado",6
"389",7308,"TENO","Retirado",118
"390",7309,"VICHUQUEN","Promovido",189
"391",7309,"VICHUQUEN","Retirado",10
"392",7401,"LINARES","Promovido",7899
"393",7401,"LINARES","Reprobado",52
"394",7401,"LINARES","Retirado",705
"395",7402,"COLBÚN","Promovido",1554
"396",7402,"COLBÚN","Reprobado",20
"397",7402,"COLBÚN","Retirado",94
"398",7403,"LONGAVÍ","Promovido",2170
"399",7403,"LONGAVÍ","Reprobado",30
"400",7403,"LONGAVÍ","Retirado",109
"401",7404,"PARRAL","Promovido",3257
"402",7404,"PARRAL","Reprobado",29
"403",7404,"PARRAL","Retirado",184
"404",7405,"RETIRO","Promovido",1470
"405",7405,"RETIRO","Reprobado",15
"406",7405,"RETIRO","Retirado",99
"407",7406,"SAN JAVIER","Promovido",3876
"408",7406,"SAN JAVIER","Reprobado",53
"409",7406,"SAN JAVIER","Retirado",225
"410",7407,"VILLA ALEGRE","Promovido",1033
"411",7407,"VILLA ALEGRE","Reprobado",4
"412",7407,"VILLA ALEGRE","Retirado",101
"413",7408,"YERBAS BUENAS","Promovido",844
"414",7408,"YERBAS BUENAS","Reprobado",9
"415",7408,"YERBAS BUENAS","Retirado",59
"416",8101,"CONCEPCIÓN","Promovido",14392
"417",8101,"CONCEPCIÓN","Reprobado",136
"418",8101,"CONCEPCIÓN","Retirado",1021
"419",8102,"CORONEL","Promovido",8709
"420",8102,"CORONEL","Reprobado",62
"421",8102,"CORONEL","Retirado",550
"422",8103,"CHIGUAYANTE","Promovido",5360
"423",8103,"CHIGUAYANTE","Reprobado",51
"424",8103,"CHIGUAYANTE","Retirado",305
"425",8104,"FLORIDA","Promovido",662
"426",8104,"FLORIDA","Reprobado",12
"427",8104,"FLORIDA","Retirado",48
"428",8105,"HUALQUI","Promovido",1547
"429",8105,"HUALQUI","Reprobado",20
"430",8105,"HUALQUI","Retirado",64
"431",8106,"LOTA","Promovido",3060
"432",8106,"LOTA","Reprobado",82
"433",8106,"LOTA","Retirado",182
"434",8107,"PENCO","Promovido",2846
"435",8107,"PENCO","Reprobado",30
"436",8107,"PENCO","Retirado",144
"437",8108,"SAN PEDRO DE LA PAZ","Promovido",10026
"438",8108,"SAN PEDRO DE LA PAZ","Reprobado",121
"439",8108,"SAN PEDRO DE LA PAZ","Retirado",523
