"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"448",12101,"PUNTA ARENAS","Rural",145,6.2
"449",12101,"PUNTA ARENAS","Urbano",9610,5.9
"450",12301,"PORVENIR","Urbano",157,6
"451",12401,"NATALES","Urbano",720,5.4
"452",13101,"SANTIAGO","Urbano",21786,5.9
"453",13102,"CERRILLOS","Urbano",4909,5.7
"454",13103,"CERRO NAVIA","Urbano",6933,5.6
"455",13104,"CONCHALÍ","Urbano",8616,5.7
"456",13105,"EL BOSQUE","Urbano",12717,5.6
"457",13106,"ESTACIÓN CENTRAL","Urbano",9787,5.8
"458",13107,"HUECHURABA","Urbano",5748,5.9
"459",13108,"INDEPENDENCIA","Urbano",7262,5.7
"460",13109,"LA CISTERNA","Urbano",8091,5.9
"461",13110,"LA FLORIDA","Urbano",25748,5.8
"462",13111,"LA GRANJA","Urbano",7410,5.6
"463",13112,"LA PINTANA","Urbano",12539,5.6
"464",13113,"LA REINA","Urbano",8746,6
"465",13114,"LAS CONDES","Urbano",14396,6.1
"466",13115,"LO BARNECHEA","Rural",47,5.9
"467",13115,"LO BARNECHEA","Urbano",7977,6
"468",13116,"LO ESPEJO","Urbano",4283,5.6
"469",13117,"LO PRADO","Urbano",5301,5.6
"470",13118,"MACUL","Urbano",6178,5.9
"471",13119,"MAIPÚ","Urbano",31668,5.8
"472",13120,"ÑUÑOA","Urbano",11674,5.9
"473",13121,"PEDRO AGUIRRE CERDA","Urbano",6585,5.6
"474",13122,"PEÑALOLÉN","Urbano",14072,5.8
"475",13123,"PROVIDENCIA","Urbano",9083,5.9
"476",13124,"PUDAHUEL","Rural",499,5.5
"477",13124,"PUDAHUEL","Urbano",12286,5.8
"478",13125,"QUILICURA","Rural",417,5.5
"479",13125,"QUILICURA","Urbano",14608,5.7
"480",13126,"QUINTA NORMAL","Urbano",9658,5.7
"481",13127,"RECOLETA","Urbano",11359,5.8
"482",13128,"RENCA","Urbano",9069,5.6
"483",13129,"SAN JOAQUÍN","Urbano",4137,5.7
"484",13130,"SAN MIGUEL","Urbano",8026,5.9
"485",13131,"SAN RAMÓN","Urbano",5364,5.7
"486",13132,"VITACURA","Urbano",7924,6.1
"487",13201,"PUENTE ALTO","Rural",883,5.6
"488",13201,"PUENTE ALTO","Urbano",34580,5.7
"489",13202,"PIRQUE","Rural",717,6.1
"490",13202,"PIRQUE","Urbano",883,6.1
"491",13203,"SAN JOSÉ DE MAIPO","Rural",473,5.9
"492",13203,"SAN JOSÉ DE MAIPO","Urbano",524,5.8
"493",13301,"COLINA","Rural",271,5.7
"494",13301,"COLINA","Urbano",14955,5.9
"495",13302,"LAMPA","Rural",586,5.6
"496",13302,"LAMPA","Urbano",8799,5.7
"497",13303,"TILTIL","Rural",586,6
"498",13303,"TILTIL","Urbano",930,5.9
"499",13401,"SAN BERNARDO","Urbano",20467,5.8
"500",13402,"BUIN","Rural",1204,5.9
"501",13402,"BUIN","Urbano",6979,5.8
"502",13403,"CALERA DE TANGO","Rural",1696,6
"503",13403,"CALERA DE TANGO","Urbano",345,6.3
"504",13404,"PAINE","Rural",1423,5.9
"505",13404,"PAINE","Urbano",4833,5.8
"506",13501,"MELIPILLA","Rural",2154,5.9
"507",13501,"MELIPILLA","Urbano",7774,5.8
"508",13502,"ALHUÉ","Rural",304,5.8
"509",13502,"ALHUÉ","Urbano",298,5.8
"510",13503,"CURACAVÍ","Rural",588,5.9
"511",13503,"CURACAVÍ","Urbano",2095,5.9
"512",13504,"MARÍA PINTO","Rural",410,6.2
"513",13504,"MARÍA PINTO","Urbano",444,5.9
"514",13505,"SAN PEDRO","Rural",809,6
"515",13601,"TALAGANTE","Rural",158,5.8
"516",13601,"TALAGANTE","Urbano",6634,5.9
"517",13602,"EL MONTE","Rural",377,5.8
"518",13602,"EL MONTE","Urbano",2232,5.9
"519",13603,"ISLA DE MAIPO","Rural",203,6
"520",13603,"ISLA DE MAIPO","Urbano",2411,5.8
"521",13604,"PADRE HURTADO","Rural",359,6.1
"522",13604,"PADRE HURTADO","Urbano",5407,5.9
"523",13605,"PEÑAFLOR","Rural",95,5.7
"524",13605,"PEÑAFLOR","Urbano",6165,5.9
"525",14101,"VALDIVIA","Rural",566,5.7
"526",14101,"VALDIVIA","Urbano",10226,5.9
"527",14102,"CORRAL","Rural",100,5.6
"528",14102,"CORRAL","Urbano",239,6
"529",14103,"LANCO","Rural",305,6.2
"530",14103,"LANCO","Urbano",873,6.1
"531",14104,"LOS LAGOS","Rural",498,5.9
"532",14104,"LOS LAGOS","Urbano",898,6
"533",14105,"MÁFIL","Rural",121,5.8
"534",14105,"MÁFIL","Urbano",340,5.8
"535",14106,"MARIQUINA","Rural",756,5.8
