"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"629",13604,"PADRE HURTADO","Particular Subvencionado",3896,5.4
"630",13605,"PEÑAFLOR","Municipal",2125,5.4
"631",13605,"PEÑAFLOR","Particular Pagado",240,6
"632",13605,"PEÑAFLOR","Particular Subvencionado",4174,5.6
"633",14101,"VALDIVIA","Municipal",4011,5.4
"634",14101,"VALDIVIA","Particular Pagado",1134,6
"635",14101,"VALDIVIA","Particular Subvencionado",5999,5.6
"636",14102,"CORRAL","Municipal",316,5.6
"637",14102,"CORRAL","Particular Subvencionado",14,5.1
"638",14103,"LANCO","Municipal",458,5.5
"639",14103,"LANCO","Particular Subvencionado",838,5.6
"640",14104,"LOS LAGOS","Municipal",1158,5.8
"641",14104,"LOS LAGOS","Particular Subvencionado",346,5.6
"642",14105,"MÁFIL","Municipal",277,5.2
"643",14105,"MÁFIL","Particular Subvencionado",253,5.3
"644",14106,"MARIQUINA","Municipal",493,5.4
"645",14106,"MARIQUINA","Particular Subvencionado",1425,5.4
"646",14107,"PAILLACO","Municipal",884,5.8
"647",14107,"PAILLACO","Particular Subvencionado",626,5.6
